,#,Name,Type1,Type2,Total,HP,Attack,Defense,Sp.Attack,Sp.Defence,Speed,Sprite,URL
413,350,Milotic,Water,,540,95,60,79,100,125,81,https://img.pokemondb.net/sprites/sword-shield/icon/milotic.png,milotic
414,351,Castform,Normal,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform.png,castform
415,351,Castform,Fire,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-sunny.png,castform
416,351,Castform,Water,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-rainy.png,castform
417,351,Castform,Ice,,420,70,70,70,70,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/castform-snowy.png,castform
418,352,Kecleon,Normal,,440,60,90,70,60,120,40,https://img.pokemondb.net/sprites/sword-shield/icon/kecleon.png,kecleon
419,353,Shuppet,Ghost,,295,44,75,35,63,33,45,https://img.pokemondb.net/sprites/sword-shield/icon/shuppet.png,shuppet
420,354,Banette,Ghost,,455,64,115,65,83,63,65,https://img.pokemondb.net/sprites/sword-shield/icon/banette.png,banette
421,354,Banette,Ghost,,555,64,165,75,93,83,75,https://img.pokemondb.net/sprites/sword-shield/icon/banette-mega.png,banette
422,355,Duskull,Ghost,,295,20,40,90,30,90,25,https://img.pokemondb.net/sprites/sword-shield/icon/duskull.png,duskull
423,356,Dusclops,Ghost,,455,40,70,130,60,130,25,https://img.pokemondb.net/sprites/sword-shield/icon/dusclops.png,dusclops
424,357,Tropius,Grass,Flying,460,99,68,83,72,87,51,https://img.pokemondb.net/sprites/sword-shield/icon/tropius.png,tropius
425,358,Chimecho,Psychic,,455,75,50,80,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/chimecho.png,chimecho
426,359,Absol,Dark,,465,65,130,60,75,60,75,https://img.pokemondb.net/sprites/sword-shield/icon/absol.png,absol
427,359,Absol,Dark,,565,65,150,60,115,60,115,https://img.pokemondb.net/sprites/sword-shield/icon/absol-mega.png,absol
428,360,Wynaut,Psychic,,260,95,23,48,23,48,23,https://img.pokemondb.net/sprites/sword-shield/icon/wynaut.png,wynaut
429,361,Snorunt,Ice,,300,50,50,50,50,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/snorunt.png,snorunt
430,362,Glalie,Ice,,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/glalie.png,glalie
431,362,Glalie,Ice,,580,80,120,80,120,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/glalie-mega.png,glalie
432,363,Spheal,Ice,Water,290,70,40,50,55,50,25,https://img.pokemondb.net/sprites/sword-shield/icon/spheal.png,spheal
433,364,Sealeo,Ice,Water,410,90,60,70,75,70,45,https://img.pokemondb.net/sprites/sword-shield/icon/sealeo.png,sealeo
434,365,Walrein,Ice,Water,530,110,80,90,95,90,65,https://img.pokemondb.net/sprites/sword-shield/icon/walrein.png,walrein
435,366,Clamperl,Water,,345,35,64,85,74,55,32,https://img.pokemondb.net/sprites/sword-shield/icon/clamperl.png,clamperl
436,367,Huntail,Water,,485,55,104,105,94,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/huntail.png,huntail
437,368,Gorebyss,Water,,485,55,84,105,114,75,52,https://img.pokemondb.net/sprites/sword-shield/icon/gorebyss.png,gorebyss
438,369,Relicanth,Water,Rock,485,100,90,130,45,65,55,https://img.pokemondb.net/sprites/sword-shield/icon/relicanth.png,relicanth
439,370,Luvdisc,Water,,330,43,30,55,40,65,97,https://img.pokemondb.net/sprites/sword-shield/icon/luvdisc.png,luvdisc
440,371,Bagon,Dragon,,300,45,75,60,40,30,50,https://img.pokemondb.net/sprites/sword-shield/icon/bagon.png,bagon
441,372,Shelgon,Dragon,,420,65,95,100,60,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/shelgon.png,shelgon
442,373,Salamence,Dragon,Flying,600,95,135,80,110,80,100,https://img.pokemondb.net/sprites/sword-shield/icon/salamence.png,salamence
443,373,Salamence,Dragon,Flying,700,95,145,130,120,90,120,https://img.pokemondb.net/sprites/sword-shield/icon/salamence-mega.png,salamence
444,374,Beldum,Steel,Psychic,300,40,55,80,35,60,30,https://img.pokemondb.net/sprites/sword-shield/icon/beldum.png,beldum
445,375,Metang,Steel,Psychic,420,60,75,100,55,80,50,https://img.pokemondb.net/sprites/sword-shield/icon/metang.png,metang
446,376,Metagross,Steel,Psychic,600,80,135,130,95,90,70,https://img.pokemondb.net/sprites/sword-shield/icon/metagross.png,metagross
447,376,Metagross,Steel,Psychic,700,80,145,150,105,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/metagross-mega.png,metagross
448,377,Regirock,Rock,,580,80,100,200,50,100,50,https://img.pokemondb.net/sprites/sword-shield/icon/regirock.png,regirock
449,378,Regice,Ice,,580,80,50,100,100,200,50,https://img.pokemondb.net/sprites/sword-shield/icon/regice.png,regice
450,379,Registeel,Steel,,580,80,75,150,75,150,50,https://img.pokemondb.net/sprites/sword-shield/icon/registeel.png,registeel
451,380,Latias,Dragon,Psychic,600,80,80,90,110,130,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias.png,latias
452,380,Latias,Dragon,Psychic,700,80,100,120,140,150,110,https://img.pokemondb.net/sprites/sword-shield/icon/latias-mega.png,latias
453,381,Latios,Dragon,Psychic,600,80,90,80,130,110,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios.png,latios
454,381,Latios,Dragon,Psychic,700,80,130,100,160,120,110,https://img.pokemondb.net/sprites/sword-shield/icon/latios-mega.png,latios
455,382,Kyogre,Water,,670,100,100,90,150,140,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre.png,kyogre
456,382,Kyogre,Water,,770,100,150,90,180,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/kyogre-primal.png,kyogre
457,383,Groudon,Ground,,670,100,150,140,100,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon.png,groudon
458,383,Groudon,Ground,Fire,770,100,180,160,150,90,90,https://img.pokemondb.net/sprites/sword-shield/icon/groudon-primal.png,groudon
459,384,Rayquaza,Dragon,Flying,680,105,150,90,150,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza.png,rayquaza
460,384,Rayquaza,Dragon,Flying,780,105,180,100,180,100,115,https://img.pokemondb.net/sprites/sword-shield/icon/rayquaza-mega.png,rayquaza
461,385,Jirachi,Steel,Psychic,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/jirachi.png,jirachi
462,386,Deoxys,Psychic,,600,50,150,50,150,50,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-normal.png,deoxys
463,386,Deoxys,Psychic,,600,50,180,20,180,20,150,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-attack.png,deoxys
464,386,Deoxys,Psychic,,600,50,70,160,70,160,90,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-defense.png,deoxys
465,386,Deoxys,Psychic,,600,50,95,90,95,90,180,https://img.pokemondb.net/sprites/sword-shield/icon/deoxys-speed.png,deoxys
466,387,Turtwig,Grass,,318,55,68,64,45,55,31,https://img.pokemondb.net/sprites/sword-shield/icon/turtwig.png,turtwig
467,388,Grotle,Grass,,405,75,89,85,55,65,36,https://img.pokemondb.net/sprites/sword-shield/icon/grotle.png,grotle
468,389,Torterra,Grass,Ground,525,95,109,105,75,85,56,https://img.pokemondb.net/sprites/sword-shield/icon/torterra.png,torterra
469,390,Chimchar,Fire,,309,44,58,44,58,44,61,https://img.pokemondb.net/sprites/sword-shield/icon/chimchar.png,chimchar
470,391,Monferno,Fire,Fighting,405,64,78,52,78,52,81,https://img.pokemondb.net/sprites/sword-shield/icon/monferno.png,monferno
471,392,Infernape,Fire,Fighting,534,76,104,71,104,71,108,https://img.pokemondb.net/sprites/sword-shield/icon/infernape.png,infernape
472,393,Piplup,Water,,314,53,51,53,61,56,40,https://img.pokemondb.net/sprites/sword-shield/icon/piplup.png,piplup
473,394,Prinplup,Water,,405,64,66,68,81,76,50,https://img.pokemondb.net/sprites/sword-shield/icon/prinplup.png,prinplup
474,395,Empoleon,Water,Steel,530,84,86,88,111,101,60,https://img.pokemondb.net/sprites/sword-shield/icon/empoleon.png,empoleon
475,396,Starly,Normal,Flying,245,40,55,30,30,30,60,https://img.pokemondb.net/sprites/sword-shield/icon/starly.png,starly
476,397,Staravia,Normal,Flying,340,55,75,50,40,40,80,https://img.pokemondb.net/sprites/sword-shield/icon/staravia.png,staravia
477,398,Staraptor,Normal,Flying,485,85,120,70,50,60,100,https://img.pokemondb.net/sprites/sword-shield/icon/staraptor.png,staraptor
478,399,Bidoof,Normal,,250,59,45,40,35,40,31,https://img.pokemondb.net/sprites/sword-shield/icon/bidoof.png,bidoof
479,400,Bibarel,Normal,Water,410,79,85,60,55,60,71,https://img.pokemondb.net/sprites/sword-shield/icon/bibarel.png,bibarel
480,401,Kricketot,Bug,,194,37,25,41,25,41,25,https://img.pokemondb.net/sprites/sword-shield/icon/kricketot.png,kricketot
481,402,Kricketune,Bug,,384,77,85,51,55,51,65,https://img.pokemondb.net/sprites/sword-shield/icon/kricketune.png,kricketune
482,403,Shinx,Electric,,263,45,65,34,40,34,45,https://img.pokemondb.net/sprites/sword-shield/icon/shinx.png,shinx
483,404,Luxio,Electric,,363,60,85,49,60,49,60,https://img.pokemondb.net/sprites/sword-shield/icon/luxio.png,luxio
484,405,Luxray,Electric,,523,80,120,79,95,79,70,https://img.pokemondb.net/sprites/sword-shield/icon/luxray.png,luxray
485,406,Budew,Grass,Poison,280,40,30,35,50,70,55,https://img.pokemondb.net/sprites/sword-shield/icon/budew.png,budew
486,407,Roserade,Grass,Poison,515,60,70,65,125,105,90,https://img.pokemondb.net/sprites/sword-shield/icon/roserade.png,roserade
487,408,Cranidos,Rock,,350,67,125,40,30,30,58,https://img.pokemondb.net/sprites/sword-shield/icon/cranidos.png,cranidos
488,409,Rampardos,Rock,,495,97,165,60,65,50,58,https://img.pokemondb.net/sprites/sword-shield/icon/rampardos.png,rampardos
489,410,Shieldon,Rock,Steel,350,30,42,118,42,88,30,https://img.pokemondb.net/sprites/sword-shield/icon/shieldon.png,shieldon
490,411,Bastiodon,Rock,Steel,495,60,52,168,47,138,30,https://img.pokemondb.net/sprites/sword-shield/icon/bastiodon.png,bastiodon
491,412,Burmy,Bug,,224,40,29,45,29,45,36,https://img.pokemondb.net/sprites/sword-shield/icon/burmy.png,burmy
492,413,Wormadam,Bug,Grass,424,60,59,85,79,105,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-plant.png,wormadam
493,413,Wormadam,Bug,Ground,424,60,79,105,59,85,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-sandy.png,wormadam
494,413,Wormadam,Bug,Steel,424,60,69,95,69,95,36,https://img.pokemondb.net/sprites/sword-shield/icon/wormadam-trash.png,wormadam
495,414,Mothim,Bug,Flying,424,70,94,50,94,50,66,https://img.pokemondb.net/sprites/sword-shield/icon/mothim.png,mothim
496,415,Combee,Bug,Flying,244,30,30,42,30,42,70,https://img.pokemondb.net/sprites/sword-shield/icon/combee.png,combee
497,416,Vespiquen,Bug,Flying,474,70,80,102,80,102,40,https://img.pokemondb.net/sprites/sword-shield/icon/vespiquen.png,vespiquen
498,417,Pachirisu,Electric,,405,60,45,70,45,90,95,https://img.pokemondb.net/sprites/sword-shield/icon/pachirisu.png,pachirisu
499,418,Buizel,Water,,330,55,65,35,60,30,85,https://img.pokemondb.net/sprites/sword-shield/icon/buizel.png,buizel
500,419,Floatzel,Water,,495,85,105,55,85,50,115,https://img.pokemondb.net/sprites/sword-shield/icon/floatzel.png,floatzel
501,420,Cherubi,Grass,,275,45,35,45,62,53,35,https://img.pokemondb.net/sprites/sword-shield/icon/cherubi.png,cherubi
502,421,Cherrim,Grass,,450,70,60,70,87,78,85,https://img.pokemondb.net/sprites/sword-shield/icon/cherrim.png,cherrim
503,422,Shellos,Water,,325,76,48,48,57,62,34,https://img.pokemondb.net/sprites/sword-shield/icon/shellos.png,shellos
504,423,Gastrodon,Water,Ground,475,111,83,68,92,82,39,https://img.pokemondb.net/sprites/sword-shield/icon/gastrodon.png,gastrodon
505,424,Ambipom,Normal,,482,75,100,66,60,66,115,https://img.pokemondb.net/sprites/sword-shield/icon/ambipom.png,ambipom
506,425,Drifloon,Ghost,Flying,348,90,50,34,60,44,70,https://img.pokemondb.net/sprites/sword-shield/icon/drifloon.png,drifloon
507,426,Drifblim,Ghost,Flying,498,150,80,44,90,54,80,https://img.pokemondb.net/sprites/sword-shield/icon/drifblim.png,drifblim
508,427,Buneary,Normal,,350,55,66,44,44,56,85,https://img.pokemondb.net/sprites/sword-shield/icon/buneary.png,buneary
509,428,Lopunny,Normal,,480,65,76,84,54,96,105,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny.png,lopunny
510,428,Lopunny,Normal,Fighting,580,65,136,94,54,96,135,https://img.pokemondb.net/sprites/sword-shield/icon/lopunny-mega.png,lopunny
511,429,Mismagius,Ghost,,495,60,60,60,105,105,105,https://img.pokemondb.net/sprites/sword-shield/icon/mismagius.png,mismagius
512,430,Honchkrow,Dark,Flying,505,100,125,52,105,52,71,https://img.pokemondb.net/sprites/sword-shield/icon/honchkrow.png,honchkrow
513,431,Glameow,Normal,,310,49,55,42,42,37,85,https://img.pokemondb.net/sprites/sword-shield/icon/glameow.png,glameow
514,432,Purugly,Normal,,452,71,82,64,64,59,112,https://img.pokemondb.net/sprites/sword-shield/icon/purugly.png,purugly
515,433,Chingling,Psychic,,285,45,30,50,65,50,45,https://img.pokemondb.net/sprites/sword-shield/icon/chingling.png,chingling
516,434,Stunky,Poison,Dark,329,63,63,47,41,41,74,https://img.pokemondb.net/sprites/sword-shield/icon/stunky.png,stunky
517,435,Skuntank,Poison,Dark,479,103,93,67,71,61,84,https://img.pokemondb.net/sprites/sword-shield/icon/skuntank.png,skuntank
518,436,Bronzor,Steel,Psychic,300,57,24,86,24,86,23,https://img.pokemondb.net/sprites/sword-shield/icon/bronzor.png,bronzor
519,437,Bronzong,Steel,Psychic,500,67,89,116,79,116,33,https://img.pokemondb.net/sprites/sword-shield/icon/bronzong.png,bronzong
520,438,Bonsly,Rock,,290,50,80,95,10,45,10,https://img.pokemondb.net/sprites/sword-shield/icon/bonsly.png,bonsly
521,439,Mime Jr.,Psychic,Fairy,310,20,25,45,70,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/mime-jr.png,mime-jr
522,440,Happiny,Normal,,220,100,5,5,15,65,30,https://img.pokemondb.net/sprites/sword-shield/icon/happiny.png,happiny
523,441,Chatot,Normal,Flying,411,76,65,45,92,42,91,https://img.pokemondb.net/sprites/sword-shield/icon/chatot.png,chatot
524,442,Spiritomb,Ghost,Dark,485,50,92,108,92,108,35,https://img.pokemondb.net/sprites/sword-shield/icon/spiritomb.png,spiritomb
525,443,Gible,Dragon,Ground,300,58,70,45,40,45,42,https://img.pokemondb.net/sprites/sword-shield/icon/gible.png,gible
526,444,Gabite,Dragon,Ground,410,68,90,65,50,55,82,https://img.pokemondb.net/sprites/sword-shield/icon/gabite.png,gabite
527,445,Garchomp,Dragon,Ground,600,108,130,95,80,85,102,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp.png,garchomp
528,445,Garchomp,Dragon,Ground,700,108,170,115,120,95,92,https://img.pokemondb.net/sprites/sword-shield/icon/garchomp-mega.png,garchomp
529,446,Munchlax,Normal,,390,135,85,40,40,85,5,https://img.pokemondb.net/sprites/sword-shield/icon/munchlax.png,munchlax
530,447,Riolu,Fighting,,285,40,70,40,35,40,60,https://img.pokemondb.net/sprites/sword-shield/icon/riolu.png,riolu
531,448,Lucario,Fighting,Steel,525,70,110,70,115,70,90,https://img.pokemondb.net/sprites/sword-shield/icon/lucario.png,lucario
532,448,Lucario,Fighting,Steel,625,70,145,88,140,70,112,https://img.pokemondb.net/sprites/sword-shield/icon/lucario-mega.png,lucario
533,449,Hippopotas,Ground,,330,68,72,78,38,42,32,https://img.pokemondb.net/sprites/sword-shield/icon/hippopotas.png,hippopotas
534,450,Hippowdon,Ground,,525,108,112,118,68,72,47,https://img.pokemondb.net/sprites/sword-shield/icon/hippowdon.png,hippowdon
535,451,Skorupi,Poison,Bug,330,40,50,90,30,55,65,https://img.pokemondb.net/sprites/sword-shield/icon/skorupi.png,skorupi
536,452,Drapion,Poison,Dark,500,70,90,110,60,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/drapion.png,drapion
537,453,Croagunk,Poison,Fighting,300,48,61,40,61,40,50,https://img.pokemondb.net/sprites/sword-shield/icon/croagunk.png,croagunk
538,454,Toxicroak,Poison,Fighting,490,83,106,65,86,65,85,https://img.pokemondb.net/sprites/sword-shield/icon/toxicroak.png,toxicroak
539,455,Carnivine,Grass,,454,74,100,72,90,72,46,https://img.pokemondb.net/sprites/sword-shield/icon/carnivine.png,carnivine
540,456,Finneon,Water,,330,49,49,56,49,61,66,https://img.pokemondb.net/sprites/sword-shield/icon/finneon.png,finneon
541,457,Lumineon,Water,,460,69,69,76,69,86,91,https://img.pokemondb.net/sprites/sword-shield/icon/lumineon.png,lumineon
542,458,Mantyke,Water,Flying,345,45,20,50,60,120,50,https://img.pokemondb.net/sprites/sword-shield/icon/mantyke.png,mantyke
543,459,Snover,Grass,Ice,334,60,62,50,62,60,40,https://img.pokemondb.net/sprites/sword-shield/icon/snover.png,snover
544,460,Abomasnow,Grass,Ice,494,90,92,75,92,85,60,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow.png,abomasnow
545,460,Abomasnow,Grass,Ice,594,90,132,105,132,105,30,https://img.pokemondb.net/sprites/sword-shield/icon/abomasnow-mega.png,abomasnow
546,461,Weavile,Dark,Ice,510,70,120,65,45,85,125,https://img.pokemondb.net/sprites/sword-shield/icon/weavile.png,weavile
547,462,Magnezone,Electric,Steel,535,70,70,115,130,90,60,https://img.pokemondb.net/sprites/sword-shield/icon/magnezone.png,magnezone
548,463,Lickilicky,Normal,,515,110,85,95,80,95,50,https://img.pokemondb.net/sprites/sword-shield/icon/lickilicky.png,lickilicky
549,464,Rhyperior,Ground,Rock,535,115,140,130,55,55,40,https://img.pokemondb.net/sprites/sword-shield/icon/rhyperior.png,rhyperior
550,465,Tangrowth,Grass,,535,100,100,125,110,50,50,https://img.pokemondb.net/sprites/sword-shield/icon/tangrowth.png,tangrowth
551,466,Electivire,Electric,,540,75,123,67,95,85,95,https://img.pokemondb.net/sprites/sword-shield/icon/electivire.png,electivire
552,467,Magmortar,Fire,,540,75,95,67,125,95,83,https://img.pokemondb.net/sprites/sword-shield/icon/magmortar.png,magmortar
553,468,Togekiss,Fairy,Flying,545,85,50,95,120,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/togekiss.png,togekiss
554,469,Yanmega,Bug,Flying,515,86,76,86,116,56,95,https://img.pokemondb.net/sprites/sword-shield/icon/yanmega.png,yanmega
555,470,Leafeon,Grass,,525,65,110,130,60,65,95,https://img.pokemondb.net/sprites/sword-shield/icon/leafeon.png,leafeon
556,471,Glaceon,Ice,,525,65,60,110,130,95,65,https://img.pokemondb.net/sprites/sword-shield/icon/glaceon.png,glaceon
557,472,Gliscor,Ground,Flying,510,75,95,125,45,75,95,https://img.pokemondb.net/sprites/sword-shield/icon/gliscor.png,gliscor
558,473,Mamoswine,Ice,Ground,530,110,130,80,70,60,80,https://img.pokemondb.net/sprites/sword-shield/icon/mamoswine.png,mamoswine
559,474,Porygon-Z,Normal,,535,85,80,70,135,75,90,https://img.pokemondb.net/sprites/sword-shield/icon/porygon-z.png,porygon-z
560,475,Gallade,Psychic,Fighting,518,68,125,65,65,115,80,https://img.pokemondb.net/sprites/sword-shield/icon/gallade.png,gallade
561,475,Gallade,Psychic,Fighting,618,68,165,95,65,115,110,https://img.pokemondb.net/sprites/sword-shield/icon/gallade-mega.png,gallade
562,476,Probopass,Rock,Steel,525,60,55,145,75,150,40,https://img.pokemondb.net/sprites/sword-shield/icon/probopass.png,probopass
563,477,Dusknoir,Ghost,,525,45,100,135,65,135,45,https://img.pokemondb.net/sprites/sword-shield/icon/dusknoir.png,dusknoir
564,478,Froslass,Ice,Ghost,480,70,80,70,80,70,110,https://img.pokemondb.net/sprites/sword-shield/icon/froslass.png,froslass
565,479,Rotom,Electric,Ghost,440,50,50,77,95,77,91,https://img.pokemondb.net/sprites/sword-shield/icon/rotom.png,rotom
566,479,Rotom,Electric,Fire,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-heat.png,rotom
567,479,Rotom,Electric,Water,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-wash.png,rotom
568,479,Rotom,Electric,Ice,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-frost.png,rotom
569,479,Rotom,Electric,Flying,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-fan.png,rotom
570,479,Rotom,Electric,Grass,520,50,65,107,105,107,86,https://img.pokemondb.net/sprites/sword-shield/icon/rotom-mow.png,rotom
571,480,Uxie,Psychic,,580,75,75,130,75,130,95,https://img.pokemondb.net/sprites/sword-shield/icon/uxie.png,uxie
572,481,Mesprit,Psychic,,580,80,105,105,105,105,80,https://img.pokemondb.net/sprites/sword-shield/icon/mesprit.png,mesprit
573,482,Azelf,Psychic,,580,75,125,70,125,70,115,https://img.pokemondb.net/sprites/sword-shield/icon/azelf.png,azelf
574,483,Dialga,Steel,Dragon,680,100,120,120,150,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/dialga.png,dialga
575,484,Palkia,Water,Dragon,680,90,120,100,150,120,100,https://img.pokemondb.net/sprites/sword-shield/icon/palkia.png,palkia
576,485,Heatran,Fire,Steel,600,91,90,106,130,106,77,https://img.pokemondb.net/sprites/sword-shield/icon/heatran.png,heatran
577,486,Regigigas,Normal,,670,110,160,110,80,110,100,https://img.pokemondb.net/sprites/sword-shield/icon/regigigas.png,regigigas
578,487,Giratina,Ghost,Dragon,680,150,100,120,100,120,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-altered.png,giratina
579,487,Giratina,Ghost,Dragon,680,150,120,100,120,100,90,https://img.pokemondb.net/sprites/sword-shield/icon/giratina-origin.png,giratina
580,488,Cresselia,Psychic,,600,120,70,120,75,130,85,https://img.pokemondb.net/sprites/sword-shield/icon/cresselia.png,cresselia
581,489,Phione,Water,,480,80,80,80,80,80,80,https://img.pokemondb.net/sprites/sword-shield/icon/phione.png,phione
582,490,Manaphy,Water,,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/manaphy.png,manaphy
583,491,Darkrai,Dark,,600,70,90,90,135,90,125,https://img.pokemondb.net/sprites/sword-shield/icon/darkrai.png,darkrai
584,492,Shaymin,Grass,,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-land.png,shaymin
585,492,Shaymin,Grass,Flying,600,100,103,75,120,75,127,https://img.pokemondb.net/sprites/sword-shield/icon/shaymin-sky.png,shaymin
586,493,Arceus,Normal,,720,120,120,120,120,120,120,https://img.pokemondb.net/sprites/sword-shield/icon/arceus.png,arceus
587,494,Victini,Psychic,Fire,600,100,100,100,100,100,100,https://img.pokemondb.net/sprites/sword-shield/icon/victini.png,victini
588,495,Snivy,Grass,,308,45,45,55,45,55,63,https://img.pokemondb.net/sprites/sword-shield/icon/snivy.png,snivy
589,496,Servine,Grass,,413,60,60,75,60,75,83,https://img.pokemondb.net/sprites/sword-shield/icon/servine.png,servine
590,497,Serperior,Grass,,528,75,75,95,75,95,113,https://img.pokemondb.net/sprites/sword-shield/icon/serperior.png,serperior
591,498,Tepig,Fire,,308,65,63,45,45,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/tepig.png,tepig
592,499,Pignite,Fire,Fighting,418,90,93,55,70,55,55,https://img.pokemondb.net/sprites/sword-shield/icon/pignite.png,pignite
593,500,Emboar,Fire,Fighting,528,110,123,65,100,65,65,https://img.pokemondb.net/sprites/sword-shield/icon/emboar.png,emboar
594,501,Oshawott,Water,,308,55,55,45,63,45,45,https://img.pokemondb.net/sprites/sword-shield/icon/oshawott.png,oshawott
595,502,Dewott,Water,,413,75,75,60,83,60,60,https://img.pokemondb.net/sprites/sword-shield/icon/dewott.png,dewott
596,503,Samurott,Water,,528,95,100,85,108,70,70,https://img.pokemondb.net/sprites/sword-shield/icon/samurott.png,samurott
597,504,Patrat,Normal,,255,45,55,39,35,39,42,https://img.pokemondb.net/sprites/sword-shield/icon/patrat.png,patrat
598,505,Watchog,Normal,,420,60,85,69,60,69,77,https://img.pokemondb.net/sprites/sword-shield/icon/watchog.png,watchog
599,506,Lillipup,Normal,,275,45,60,45,25,45,55,https://img.pokemondb.net/sprites/sword-shield/icon/lillipup.png,lillipup
600,507,Herdier,Normal,,370,65,80,65,35,65,60,https://img.pokemondb.net/sprites/sword-shield/icon/herdier.png,herdier
601,508,Stoutland,Normal,,500,85,110,90,45,90,80,https://img.pokemondb.net/sprites/sword-shield/icon/stoutland.png,stoutland
602,509,Purrloin,Dark,,281,41,50,37,50,37,66,https://img.pokemondb.net/sprites/sword-shield/icon/purrloin.png,purrloin
603,510,Liepard,Dark,,446,64,88,50,88,50,106,https://img.pokemondb.net/sprites/sword-shield/icon/liepard.png,liepard
604,511,Pansage,Grass,,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/pansage.png,pansage
605,512,Simisage,Grass,,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simisage.png,simisage
606,513,Pansear,Fire,,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/pansear.png,pansear
607,514,Simisear,Fire,,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simisear.png,simisear
608,515,Panpour,Water,,316,50,53,48,53,48,64,https://img.pokemondb.net/sprites/sword-shield/icon/panpour.png,panpour
609,516,Simipour,Water,,498,75,98,63,98,63,101,https://img.pokemondb.net/sprites/sword-shield/icon/simipour.png,simipour
610,517,Munna,Psychic,,292,76,25,45,67,55,24,https://img.pokemondb.net/sprites/sword-shield/icon/munna.png,munna
611,518,Musharna,Psychic,,487,116,55,85,107,95,29,https://img.pokemondb.net/sprites/sword-shield/icon/musharna.png,musharna
612,519,Pidove,Normal,Flying,264,50,55,50,36,30,43,https://img.pokemondb.net/sprites/sword-shield/icon/pidove.png,pidove
613,520,Tranquill,Normal,Flying,358,62,77,62,50,42,65,https://img.pokemondb.net/sprites/sword-shield/icon/tranquill.png,tranquill
614,521,Unfezant,Normal,Flying,488,80,115,80,65,55,93,https://img.pokemondb.net/sprites/sword-shield/icon/unfezant.png,unfezant
615,522,Blitzle,Electric,,295,45,60,32,50,32,76,https://img.pokemondb.net/sprites/sword-shield/icon/blitzle.png,blitzle
616,523,Zebstrika,Electric,,497,75,100,63,80,63,116,https://img.pokemondb.net/sprites/sword-shield/icon/zebstrika.png,zebstrika
617,524,Roggenrola,Rock,,280,55,75,85,25,25,15,https://img.pokemondb.net/sprites/sword-shield/icon/roggenrola.png,roggenrola
618,525,Boldore,Rock,,390,70,105,105,50,40,20,https://img.pokemondb.net/sprites/sword-shield/icon/boldore.png,boldore
619,526,Gigalith,Rock,,515,85,135,130,60,80,25,https://img.pokemondb.net/sprites/sword-shield/icon/gigalith.png,gigalith
620,527,Woobat,Psychic,Flying,323,65,45,43,55,43,72,https://img.pokemondb.net/sprites/sword-shield/icon/woobat.png,woobat
621,528,Swoobat,Psychic,Flying,425,67,57,55,77,55,114,https://img.pokemondb.net/sprites/sword-shield/icon/swoobat.png,swoobat
